episode,reward,steps,choosen_moves,random_moves
48,1014,241,188,53
49,3017,588,450,138
50,1316,265,187,78
51,723,190,127,63
52,627,125,98,27
53,1041,239,178,61
54,1034,246,189,57
55,587,141,107,34
56,1038,223,177,46
57,3017,632,487,145
58,741,180,137,43
59,1301,263,200,63
60,1024,265,197,68
61,232,49,37,12
62,2983,670,493,177
63,1134,203,149,54
64,2601,527,379,148
65,1316,255,187,68
66,2315,549,407,142
67,1304,280,212,68
68,1020,269,184,85
69,1321,258,191,67
70,624,125,95,30
71,611,127,92,35
72,1310,241,180,61
73,1009,261,197,64
74,627,119,93,26
75,1312,299,222,77
76,1022,274,208,66
77,599,130,100,30
78,627,120,91,29
79,1521,376,287,89
80,1040,205,160,45
81,1133,221,169,52
82,1040,235,173,62
83,1281,297,214,83
1,544,375,166,209
2,1151,272,189,83
3,1312,234,170,64
4,1138,216,171,45
5,1302,290,215,75
6,3015,621,487,134
7,672,335,245,90
8,708,162,127,35
9,1310,289,218,71
10,799,207,141,66
11,1031,248,180,68
12,1332,201,147,54
13,1018,249,187,62
14,209,60,47,13
15,706,214,162,52
16,240,56,42,14
17,1308,286,220,66
18,1830,383,275,108
19,1907,374,281,93
20,1023,246,192,54
21,710,159,116,43
22,1827,377,283,94
23,232,50,38,12
24,1409,266,215,51
25,1041,219,163,56
26,626,129,96,33
27,1310,260,191,69
28,597,135,98,37
29,1305,283,214,69
30,1317,296,221,75
31,2319,476,357,119
32,1294,290,222,68
33,1030,226,163,63
34,2329,491,374,117
35,1037,213,162,51
36,3005,596,456,140
37,1324,273,209,64
38,1045,212,165,47
39,3017,610,445,165
40,599,146,103,43
41,1019,281,204,77
42,614,152,110,42
43,1131,217,160,57
44,1015,289,213,76
45,615,130,105,25
46,1024,258,199,59
47,1132,248,196,52
48,1131,233,183,50
49,617,129,105,24
50,2324,519,388,131
51,1040,234,173,61
52,1133,225,168,57
53,1307,293,227,66
54,1129,261,192,69
55,225,52,35,17
56,1043,227,167,60
57,1041,232,176,56
58,625,137,103,34
59,1312,279,201,78
60,1312,270,188,82
61,1040,222,176,46
62,3004,638,481,157
63,1880,399,303,96
64,1308,275,210,65
65,1122,239,170,69
66,1009,234,181,53
67,617,123,99,24
68,1100,304,227,77
69,3006,643,495,148
70,1305,273,200,73
71,2333,474,370,104
72,1306,296,211,85
73,1292,296,217,79
74,1163,267,210,57
75,1021,260,192,68
76,628,119,93,26
77,732,180,133,47
78,1137,202,151,51
79,1541,319,245,74
80,1316,276,207,69
81,1118,273,194,79
82,1308,256,190,66
83,1036,244,189,55
1,230,54,7,47
2,872,347,182,165
3,1333,225,146,79
4,1037,210,154,56
5,1091,272,209,63
6,1307,284,216,68
7,1009,258,205,53
8,232,51,37,14
9,608,128,103,25
10,230,50,41,9
11,609,186,136,50
12,230,51,36,15
13,943,304,226,78
14,993,286,217,69
15,1000,258,188,70
16,1329,255,187,68
17,1041,184,148,36
18,1298,285,204,81
19,698,198,144,54
20,677,212,155,57
21,1280,245,172,73
22,1159,381,287,94
23,1273,354,270,84
24,1131,233,178,55
25,1311,261,196,65
26,1132,221,169,52
27,561,281,212,69
28,1112,237,179,58
29,3023,546,409,137
30,214,57,38,19
31,1033,230,175,55
32,1013,242,168,74
33,1854,257,194,63
34,1014,270,191,79
35,1318,250,185,65
36,210,58,44,14
37,1036,217,150,67
38,1056,227,171,56
39,1035,214,164,50
40,1283,299,206,93
41,609,82,59,23
42,1041,168,131,37
43,1041,180,135,45
44,3046,452,333,119
45,1323,182,135,47
46,1332,188,137,51
47,1038,191,141,50
48,1168,203,162,41
49,1040,213,157,56
50,1148,205,158,47
51,1042,208,151,57
52,1418,240,175,65
53,593,131,97,34
54,604,80,60,20
55,1036,199,140,59
56,732,114,92,22
57,727,163,125,38
58,2344,421,327,94
59,653,86,64,22
60,1819,348,254,94
61,612,120,94,26
