time,episode,reward,steps,choosen_moves,random_moves
244,243,2122,581,427,154
245,244,-201,1140,850,290
246,245,2016,508,399,109
247,246,2667,858,634,224
248,247,1814,587,447,140
249,248,-1978,2983,2222,761
250,249,1306,861,653,208
251,250,661,781,576,205
252,251,632,1226,926,300
253,252,1783,675,499,176
254,253,2037,520,392,128
255,254,1748,852,654,198
256,255,2214,481,354,127
257,256,2134,763,579,184
258,257,1632,778,574,204
259,258,2154,714,537,177
260,259,487,1136,859,277
261,260,2276,607,458,149
262,261,2101,874,662,212
263,262,1581,431,323,108
264,263,2177,677,508,169
265,264,1271,486,372,114
266,265,-1249,1997,1509,488
267,266,1743,716,543,173
268,267,1373,369,260,109
269,268,1478,605,465,140
270,269,1387,363,276,87
271,270,2355,588,458,130
272,271,2454,729,555,174
273,272,1537,385,291,94
274,273,2153,834,602,232
275,274,1384,312,234,78
276,275,1408,345,259,86
277,276,2530,665,512,153
278,277,1383,387,295,92
279,278,1851,579,458,121
280,279,1798,469,347,122
281,280,2280,611,460,151
282,281,1413,279,211,68
283,282,1878,470,360,110
284,283,1901,470,355,115
285,284,2433,824,618,206
286,285,2071,590,445,145
287,286,3312,842,643,199
288,287,2293,617,461,156
289,288,1375,356,255,101
290,289,2195,739,554,185
291,290,1926,646,476,170
292,291,2126,628,469,159
293,292,1402,443,344,99
294,293,980,233,164,69
295,294,2664,543,397,146
296,295,1868,523,395,128
297,296,2056,696,528,168
298,297,2144,621,476,145
299,298,2176,597,449,148
300,299,2830,952,704,248
301,300,2479,528,392,136
302,301,1559,393,275,118
303,302,3291,769,594,175
304,303,2066,473,362,111
305,304,1356,437,315,122
306,305,1857,560,423,137
307,306,2525,704,551,153
308,307,1965,570,437,133
309,308,1851,728,547,181
310,309,2604,728,555,173
311,310,2831,757,552,205
312,311,2735,676,511,165
313,312,2293,491,379,112
314,313,2003,379,270,109
315,314,2709,714,555,159
316,315,1442,290,220,70
317,316,3396,1730,1305,425
318,317,2203,546,413,133
319,318,2406,830,630,200
320,319,3207,774,589,185
321,320,2285,552,427,125
322,321,1543,368,284,84
323,322,1305,405,304,101
324,323,2839,711,543,168
325,324,1938,435,339,96
326,325,1388,332,241,91
327,326,2200,535,392,143
328,327,2562,448,343,105
329,328,2742,683,487,196
330,329,1416,309,231,78
331,330,2336,538,391,147
332,331,3142,627,473,154
333,332,2632,586,418,168
334,333,1426,353,264,89
335,334,1429,345,258,87
336,335,2446,806,586,220
337,336,2759,579,429,150
338,337,4525,1030,768,262
339,338,1395,349,258,91
340,339,1411,335,258,77
341,340,2614,639,475,164
342,341,3450,578,429,149
343,342,1986,393,304,89
344,343,2347,432,318,114
345,344,3586,716,532,184
346,345,2927,478,363,115
347,346,5496,1060,793,267
348,347,3063,563,430,133
349,348,1638,400,290,110
350,349,1852,345,256,89
351,350,3189,708,526,182
352,351,1451,267,216,51
353,352,2929,564,416,148
354,353,1927,461,362,99
355,354,2275,635,479,156
356,355,3088,829,624,205
357,356,1551,287,230,57
358,357,1804,355,265,90
359,358,2472,506,369,137
360,359,2969,504,377,127
361,360,1985,386,275,111
362,361,2967,567,424,143
363,362,1911,358,273,85
364,363,1875,323,251,72
365,364,4530,719,529,190
366,365,5062,3713,2771,942
367,366,2903,497,359,138
368,367,1787,399,287,112
369,368,2773,474,364,110
370,369,4520,2713,2040,673
371,370,3075,549,396,153
372,371,1797,355,263,92
373,372,1598,273,213,60
374,373,1431,282,212,70
375,374,1439,259,189,70
376,375,2264,412,314,98
377,376,3057,483,350,133
378,377,1464,273,198,75
379,378,2029,302,231,71
380,379,2405,484,359,125
381,380,1450,253,181,72
382,381,2493,518,371,147
383,382,2901,539,412,127
384,383,5601,1406,1068,338
385,384,2931,618,452,166
386,385,2145,361,264,97
387,386,2318,413,312,101
388,387,1703,294,222,72
389,388,2491,423,310,113
390,389,3059,634,480,154
391,390,2493,497,375,122
392,391,2253,416,321,95
