episode,reward,steps,choosen_moves,random_moves
1,2245,734,419,315
2,2451,533,417,116
3,3367,765,574,191
4,1445,265,204,61
5,2651,586,444,142
6,2942,660,490,170
7,3019,706,547,159
8,1893,487,361,126
9,2034,647,477,170
10,2289,545,401,144
11,1463,327,240,87
12,1442,689,494,195
13,2636,843,627,216
14,2308,534,416,118
15,1007,250,181,69
16,1760,713,537,176
17,1988,535,407,128
18,1938,492,366,126
19,1374,415,303,112
20,1239,671,492,179
21,902,283,198,85
22,1173,485,340,145
23,632,366,271,95
24,652,146,115,31
25,1070,214,161,53
26,411,494,362,132
27,672,139,109,30
28,-4403,2357,1785,572
29,674,136,98,38
30,745,351,255,96
31,674,137,111,26
32,480,397,299,98
33,663,147,96,51
34,397,443,332,111
35,-4092,2784,2059,725
36,-4959,2574,1936,638
37,674,142,106,36
38,1015,209,169,40
39,1135,300,218,82
40,-4655,2272,1691,581
41,941,263,200,63
42,669,138,106,32
43,1114,282,213,69
44,1416,343,258,85
45,1033,226,172,54
46,1264,338,247,91
47,1134,541,384,157
48,1768,508,390,118
49,1049,521,409,112
50,-95,902,663,239
51,-4372,2779,2110,669
52,1290,1176,910,266
53,-3666,2706,2014,692
54,2005,647,486,161
55,1622,672,497,175
56,1589,592,446,146
57,2044,560,418,142
58,1884,489,369,120
59,1846,641,480,161
60,2040,750,565,185
61,1861,533,394,139
62,2388,803,609,194
63,2236,727,528,199
64,1908,622,472,150
65,2481,528,394,134
66,1820,422,301,121
67,1648,453,334,119
68,2260,585,449,136
69,947,264,199,65
70,1308,351,271,80
71,1321,324,231,93
72,2303,579,442,137
73,2524,793,598,195
74,1504,791,613,178
75,438,1109,851,258
76,1773,657,496,161
77,2199,476,353,123
78,1952,731,553,178
79,998,227,162,65
80,-3942,2649,1950,699
81,1860,610,448,162
82,1401,303,216,87
83,1471,354,252,102
84,1341,557,417,140
85,1220,389,279,110
86,1539,602,463,139
87,2105,895,664,231
88,2148,764,561,203
89,1721,583,448,135
90,2348,807,584,223
91,-4933,2420,1848,572
92,348,1162,878,284
93,886,289,218,71
94,2298,922,690,232
95,926,253,182,71
96,1343,379,281,98
97,2488,696,528,168
98,1690,517,381,136
99,2839,821,614,207
100,1917,671,511,160
101,1748,829,607,222
102,1316,345,260,85
103,2264,615,468,147
104,1320,1117,843,274
105,1427,566,438,128
106,1745,499,374,125
107,1683,791,617,174
108,1823,567,417,150
109,1236,618,470,148
110,2039,628,454,174
111,1405,297,219,78
112,1613,1083,819,264
113,2201,595,460,135
114,1831,533,410,123
115,1740,614,465,149
116,2276,904,681,223
117,1977,1065,800,265
118,1075,563,414,149
119,1178,432,324,108
120,2465,816,617,199
121,1878,505,372,133
122,2116,679,492,187
123,2163,637,482,155
124,1671,709,543,166
125,1992,607,451,156
126,1190,419,312,107
127,1386,315,245,70
128,1753,711,541,170
129,2136,657,493,164
130,2243,715,525,190
131,2015,569,416,153
132,1460,676,505,171
133,1259,564,416,148
134,1921,596,444,152
135,1880,639,490,149
136,2215,1157,852,305
137,1733,542,409,133
138,1073,650,493,157
139,1524,578,423,155
140,719,1216,892,324
141,1258,452,332,120
142,244,1619,1209,410
143,1799,664,492,172
144,1237,450,342,108
145,921,679,494,185
146,1237,730,543,187
147,1451,748,559,189
148,1136,470,364,106
149,1555,1059,793,266
150,1028,1065,808,257
151,1729,459,338,121
152,434,1620,1180,440
153,866,729,564,165
154,-735,2257,1693,564
155,1062,888,690,198
156,1607,462,352,110
157,1820,414,306,108
158,2017,669,504,165
159,1823,595,436,159
160,1056,498,372,126
161,2099,809,619,190
162,1898,769,581,188
163,818,1201,895,306
164,1412,449,326,123
165,1281,390,275,115
166,725,1651,1219,432
167,1405,329,247,82
168,1301,875,646,229
169,-2792,2416,1809,607
170,1765,393,287,106
171,1384,302,232,70
172,1922,565,428,137
173,1482,401,300,101
174,1350,414,315,99
175,1481,544,414,130
176,1250,1019,777,242
177,1790,643,473,170
178,2406,1119,839,280
179,1339,426,312,114
180,1223,481,364,117
181,1609,1091,833,258
182,1222,388,279,109
183,1725,455,353,102
184,1113,407,314,93
185,1542,714,555,159
186,456,1331,974,357
187,1739,739,561,178
188,1234,430,330,100
189,1398,707,538,169
190,1786,1079,810,269
191,1870,547,402,145
192,2413,783,567,216
193,1841,461,341,120
194,1103,365,275,90
195,2064,495,382,113
196,1722,485,357,128
197,1363,354,271,83
198,1105,449,312,137
199,2264,739,567,172
200,9,1877,1377,500
201,1753,645,480,165
202,1528,602,435,167
203,1730,476,341,135
204,1512,424,321,103
205,1955,569,441,128
206,1297,380,278,102
207,1419,308,231,77
208,2109,669,516,153
209,1704,492,359,133
210,1906,515,381,134
211,1066,768,567,201
212,1217,598,448,150
213,1756,593,449,144
214,1727,448,354,94
215,1699,455,342,113
216,2012,719,522,197
217,1586,573,437,136
218,1401,506,368,138
219,1893,639,480,159
220,2155,716,519,197
221,2209,576,450,126
222,2027,718,546,172
223,1898,1621,1202,419
224,175,1692,1252,440
225,1283,445,318,127
226,1480,355,258,97
227,2047,787,592,195
228,2242,636,482,154
229,1826,603,455,148
230,1582,689,526,163
231,2398,766,582,184
232,2503,919,683,236
233,1768,819,612,207
234,1589,522,387,135
235,1627,622,456,166
236,2478,868,654,214
237,1312,778,584,194
238,1938,993,765,228
239,1837,668,496,172
240,1571,430,322,108
241,1769,455,315,140
242,2126,808,577,231
243,2122,581,427,154
244,-201,1140,850,290
245,2016,508,399,109
246,2667,858,634,224
247,1814,587,447,140
248,-1978,2983,2222,761
249,1306,861,653,208
250,661,781,576,205
251,632,1226,926,300
252,1783,675,499,176
253,2037,520,392,128
254,1748,852,654,198
255,2214,481,354,127
256,2134,763,579,184
257,1632,778,574,204
258,2154,714,537,177
259,487,1136,859,277
260,2276,607,458,149
261,2101,874,662,212
262,1581,431,323,108
263,2177,677,508,169
264,1271,486,372,114
265,-1249,1997,1509,488
266,1743,716,543,173
267,1373,369,260,109
268,1478,605,465,140
269,1387,363,276,87
270,2355,588,458,130
271,2454,729,555,174
272,1537,385,291,94
273,2153,834,602,232
274,1384,312,234,78
275,1408,345,259,86
276,2530,665,512,153
277,1383,387,295,92
278,1851,579,458,121
279,1798,469,347,122
280,2280,611,460,151
281,1413,279,211,68
282,1878,470,360,110
283,1901,470,355,115
284,2433,824,618,206
285,2071,590,445,145
286,3312,842,643,199
287,2293,617,461,156
288,1375,356,255,101
289,2195,739,554,185
290,1926,646,476,170
291,2126,628,469,159
292,1402,443,344,99
293,980,233,164,69
294,2664,543,397,146
295,1868,523,395,128
296,2056,696,528,168
297,2144,621,476,145
298,2176,597,449,148
299,2830,952,704,248
300,2479,528,392,136
301,1559,393,275,118
302,3291,769,594,175
303,2066,473,362,111
304,1356,437,315,122
305,1857,560,423,137
306,2525,704,551,153
307,1965,570,437,133
308,1851,728,547,181
309,2604,728,555,173
310,2831,757,552,205
311,2735,676,511,165
312,2293,491,379,112
313,2003,379,270,109
314,2709,714,555,159
315,1442,290,220,70
316,3396,1730,1305,425
317,2203,546,413,133
318,2406,830,630,200
319,3207,774,589,185
320,2285,552,427,125
321,1543,368,284,84
322,1305,405,304,101
323,2839,711,543,168
324,1938,435,339,96
325,1388,332,241,91
326,2200,535,392,143
327,2562,448,343,105
328,2742,683,487,196
329,1416,309,231,78
330,2336,538,391,147
331,3142,627,473,154
332,2632,586,418,168
333,1426,353,264,89
334,1429,345,258,87
335,2446,806,586,220
336,2759,579,429,150
337,4525,1030,768,262
338,1395,349,258,91
339,1411,335,258,77
340,2614,639,475,164
341,3450,578,429,149
342,1986,393,304,89
343,2347,432,318,114
344,3586,716,532,184
345,2927,478,363,115
346,5496,1060,793,267
347,3063,563,430,133
348,1638,400,290,110
349,1852,345,256,89
350,3189,708,526,182
351,1451,267,216,51
352,2929,564,416,148
353,1927,461,362,99
354,2275,635,479,156
355,3088,829,624,205
356,1551,287,230,57
357,1804,355,265,90
358,2472,506,369,137
359,2969,504,377,127
360,1985,386,275,111
361,2967,567,424,143
362,1911,358,273,85
363,1875,323,251,72
364,4530,719,529,190
365,5062,3713,2771,942
366,2903,497,359,138
367,1787,399,287,112
368,2773,474,364,110
369,4520,2713,2040,673
370,3075,549,396,153
371,1797,355,263,92
372,1598,273,213,60
373,1431,282,212,70
374,1439,259,189,70
375,2264,412,314,98
376,3057,483,350,133
377,1464,273,198,75
378,2029,302,231,71
379,2405,484,359,125
380,1450,253,181,72
381,2493,518,371,147
382,2901,539,412,127
383,5601,1406,1068,338
384,2931,618,452,166
385,2145,361,264,97
386,2318,413,312,101
387,1703,294,222,72
388,2491,423,310,113
389,3059,634,480,154
390,2493,497,375,122
391,2253,416,321,95
392,2643,544,398,146
393,2579,485,371,114
394,1468,310,231,79
395,4262,802,581,221
396,2413,377,290,87
397,1452,231,171,60
398,5139,926,719,207
399,3422,748,548,200
400,2773,438,345,93
401,4401,768,579,189
402,3824,658,486,172
403,2969,551,425,126
404,1464,293,222,71
405,2039,317,228,89
406,1627,308,215,93
407,3792,3013,2224,789
408,3390,627,467,160
409,5264,3254,2441,813
410,2464,452,327,125
411,1468,246,177,69
412,1553,259,191,68
413,4891,854,635,219
414,2863,539,401,138
415,2581,465,338,127
416,3476,644,486,158
417,1446,221,164,57
418,2429,403,304,99
419,2414,424,313,111
420,1456,206,155,51
421,2180,476,343,133
422,1985,437,309,128
423,2791,480,354,126
424,2948,538,408,130
425,2209,326,252,74
426,1757,337,244,93
427,4440,633,471,162
428,2980,526,401,125
429,4544,2983,2209,774
430,5038,888,683,205
431,2264,354,271,83
432,2387,485,364,121
433,3111,512,381,131
434,1450,298,231,67
435,1940,301,233,68
436,4113,1860,1386,474
437,3735,656,484,172
438,1577,232,168,64
439,2427,480,375,105
440,2773,539,403,136
441,3547,671,478,193
442,2356,405,304,101
443,3814,2956,2221,735
444,4129,751,577,174
445,2671,501,371,130
446,2151,467,335,132
447,4092,2898,2150,748
448,1817,308,217,91
449,2446,407,298,109
450,1884,306,221,85
451,2424,484,356,128
452,3965,617,473,144
453,2718,512,376,136
454,3807,651,483,168
455,1814,252,199,53
456,3705,620,473,147
457,1685,305,219,86
458,2576,393,291,102
459,2160,405,300,105
460,4465,776,583,193
461,1530,299,215,84
462,3458,465,346,119
463,2627,460,355,105
464,1958,350,267,83
465,2482,441,323,118
466,3992,782,590,192
467,3200,636,474,162
468,2957,520,381,139
469,2390,385,283,102
470,2059,337,259,78
471,2242,414,293,121
472,6238,1901,1418,483
473,3015,476,355,121
474,3396,530,397,133
475,3637,630,480,150
476,2036,279,209,70
477,3603,659,500,159
478,1989,319,253,66
479,3576,607,461,146
480,2635,458,334,124
481,4583,901,660,241
482,2610,537,397,140
483,3332,640,481,159
484,2677,479,370,109
485,1455,259,197,62
486,2186,369,263,106
487,1964,322,238,84
488,4502,2934,2211,723
489,3678,617,481,136
490,3276,612,463,149
491,1963,339,270,69
492,2996,543,423,120
493,2678,642,477,165
494,1833,297,223,74
495,1623,269,209,60
