episode,reward,steps,choosen_moves,random_moves
496,1650,285,202,83
497,1987,371,286,85
498,2784,483,365,118
499,2072,293,226,67
500,3477,520,397,123
501,4791,3135,2356,779
502,2899,539,401,138
503,3228,546,413,133
504,5148,874,646,228
505,2038,364,286,78
506,2670,542,397,145
507,1688,307,239,68
508,1967,291,204,87
509,2841,519,393,126
510,2473,474,351,123
511,1628,309,231,78
512,2115,376,283,93
513,4635,3211,2413,798
514,4980,3068,2318,750
515,1437,271,194,77
516,3242,662,480,182
517,2469,440,332,108
518,1489,227,165,62
519,3766,655,492,163
520,2993,573,429,144
521,1952,367,263,104
522,2367,463,343,120
523,2866,449,338,111
524,2513,422,311,111
525,3114,539,398,141
526,1897,282,207,75
527,3061,530,381,149
528,3653,719,564,155
529,2949,532,405,127
530,3616,636,485,151
531,1450,232,173,59
532,2231,364,284,80
533,3241,533,390,143
534,2349,398,301,97
535,2796,494,371,123
536,2653,501,373,128
537,2674,477,352,125
538,4589,786,582,204
539,2137,321,246,75
540,1462,249,175,74
541,3980,754,564,190
542,2212,463,338,125
543,3835,644,491,153
544,3147,590,446,144
545,2363,502,393,109
546,2158,355,259,96
547,3097,509,381,128
548,2016,393,284,109
549,3007,434,327,107
550,2990,531,408,123
551,3588,627,458,169
552,3552,612,476,136
553,1455,244,174,70
554,2424,436,330,106
555,1420,267,180,87
556,4963,939,691,248
557,2811,515,384,131
558,2438,479,345,134
559,4760,1036,758,278
560,4415,719,547,172
561,2599,502,367,135
562,4672,910,682,228
563,1488,246,185,61
564,3087,639,485,154
565,2447,419,310,109
566,4282,3034,2261,773
567,1700,344,252,92
568,2260,422,320,102
569,2141,375,275,100
570,1923,388,289,99
571,3544,616,450,166
572,2860,615,437,178
573,2580,356,269,87
574,4290,2915,2165,750
575,3712,708,514,194
576,2812,600,432,168
577,2792,447,319,128
578,1560,277,206,71
579,3308,558,407,151
580,1466,240,175,65
581,2466,438,332,106
582,2785,518,387,131
583,2400,422,296,126
584,2111,399,304,95
585,2975,509,375,134
586,1627,292,218,74
587,2084,393,284,109
588,2391,463,334,129
589,2890,468,361,107
590,1974,301,222,79
591,1871,343,267,76
592,1660,239,181,58
593,2489,391,296,95
594,3864,2989,2253,736
595,1556,255,188,67
596,1571,225,181,44
597,1961,345,274,71
598,3096,580,441,139
599,3033,551,406,145
600,2029,360,274,86
601,2026,343,259,84
602,2548,393,309,84
603,4472,930,689,241
604,1533,240,179,61
605,2908,491,378,113
606,2058,321,233,88
607,1436,236,186,50
608,2097,401,293,108
609,1434,291,229,62
610,1997,329,252,77
611,1810,309,240,69
612,3991,3022,2265,757
613,2769,375,276,99
614,1726,255,179,76
615,3611,676,504,172
616,4309,747,554,193
617,1450,228,170,58
618,1545,249,184,65
619,4692,788,577,211
620,5070,4092,3044,1048
621,4291,893,656,237
622,1452,258,199,59
623,2447,398,304,94
624,4286,3077,2315,762
625,4773,743,564,179
626,3268,478,375,103
627,2061,481,368,113
628,3131,576,432,144
629,2386,374,288,86
630,4612,852,659,193
631,3296,2840,2113,727
632,2041,308,230,78
633,3024,484,359,125
634,2664,620,444,176
635,1443,297,203,94
636,1572,294,218,76
637,3560,656,479,177
638,3351,608,454,154
639,2095,442,311,131
640,1699,268,197,71
641,2538,537,383,154
642,2174,404,306,98
643,1487,272,198,74
644,2659,473,366,107
645,2041,451,326,125
646,5040,3200,2371,829
647,2797,492,368,124
648,2111,468,351,117
649,1879,382,287,95
650,2268,419,307,112
651,2514,499,370,129
652,1407,235,173,62
653,4839,3038,2252,786
654,3489,587,440,147
655,1473,282,209,73
656,3218,567,436,131
657,2725,382,286,96
658,2016,396,292,104
659,3783,631,478,153
660,1558,242,189,53
661,2915,573,438,135
662,1683,326,251,75
663,1456,329,237,92
664,2475,406,305,101
665,4669,3120,2328,792
666,2481,407,309,98
667,3072,508,373,135
668,2662,454,357,97
669,2857,453,346,107
670,4079,703,532,171
671,2404,395,309,86
672,2039,482,343,139
673,2885,461,344,117
674,3844,726,542,184
675,2663,461,339,122
676,2605,423,325,98
677,1891,318,233,85
678,2760,483,362,121
679,3516,595,442,153
680,2682,505,396,109
681,2155,401,299,102
682,1964,388,306,82
683,2463,543,404,139
684,5586,852,632,220
685,1480,219,166,53
686,5125,979,755,224
687,2466,422,316,106
688,2969,552,390,162
689,1811,328,247,81
690,3969,629,481,148
691,2991,493,370,123
692,3813,5193,3965,1228
693,3004,535,414,121
694,3455,615,472,143
695,2915,519,391,128
696,2849,472,368,104
697,1689,291,228,63
698,1600,246,189,57
699,4101,2957,2199,758
700,2494,425,324,101
701,3380,560,435,125
702,3320,509,384,125
703,1762,314,253,61
704,5238,1029,764,265
705,4487,3844,2924,920
706,2539,397,301,96
707,2034,302,236,66
708,1827,306,236,70
709,1830,345,256,89
710,3977,712,550,162
711,1849,369,275,94
712,2456,475,349,126
713,2554,501,367,134
714,1531,294,216,78
715,2009,383,279,104
716,1450,224,169,55
717,3194,590,438,152
718,1783,319,238,81
719,4573,3095,2279,816
720,1579,265,198,67
721,2797,413,296,117
722,1765,369,271,98
723,1440,273,206,67
724,2621,400,305,95
725,1805,279,220,59
726,3644,604,452,152
727,1437,255,201,54
728,2016,283,221,62
729,5528,1054,809,245
730,4329,2182,1654,528
731,2928,667,499,168
732,1575,257,191,66
733,2493,466,351,115
734,1773,345,252,93
735,2541,432,324,108
736,5142,1914,1431,483
737,1475,320,228,92
738,4049,735,537,198
739,3057,475,355,120
740,2277,396,297,99
741,1445,298,229,69
742,1831,311,230,81
743,3527,591,438,153
744,5136,981,731,250
745,1992,393,295,98
746,1461,246,176,70
747,1456,269,203,66
748,1797,283,211,72
749,2979,469,347,122
750,2424,424,315,109
751,2514,454,334,120
752,1799,339,256,83
753,3851,672,500,172
754,2425,411,305,106
755,2720,512,404,108
756,2371,371,285,86
757,2333,424,311,113
758,4353,2968,2212,756
759,2108,357,261,96
760,2993,504,375,129
761,3862,747,540,207
762,5728,925,688,237
763,2736,437,322,115
764,2683,478,340,138
765,5411,3583,2658,925
766,3907,3115,2354,761
767,4649,868,635,233
768,4579,5398,4048,1350
769,4838,780,557,223
770,2873,538,415,123
771,2467,489,367,122
772,4271,641,480,161
773,5331,885,678,207
774,5877,1041,779,262
775,2686,487,358,129
776,4892,2332,1738,594
777,3856,2998,2207,791
778,5037,2345,1721,624
779,3419,641,478,163
780,2045,332,248,84
781,2755,471,355,116
782,2870,610,454,156
783,2004,350,263,87
784,2502,385,296,89
785,2746,405,302,103
786,1443,308,222,86
787,3008,546,402,144
788,2856,506,390,116
789,4175,689,526,163
790,3054,518,366,152
791,1835,327,240,87
792,2271,524,359,165
793,1777,406,307,99
794,2768,431,303,128
795,1440,247,189,58
796,1457,213,153,60
797,3510,2910,2176,734
798,2423,450,338,112
799,4469,3108,2344,764
800,3301,545,423,122
801,1601,320,231,89
802,3129,580,437,143
803,1455,249,189,60
804,2877,539,412,127
805,2613,589,443,146
806,4650,878,644,234
807,2708,455,326,129
808,2334,373,273,100
809,2442,534,418,116
810,1716,256,187,69
811,1534,261,199,62
812,2110,361,267,94
813,3262,541,414,127
814,1660,259,190,69
815,1977,368,278,90
816,2492,427,308,119
817,4853,906,692,214
818,3409,759,564,195
819,2005,363,270,93
820,1533,304,224,80
821,1535,226,170,56
822,2787,483,366,117
823,4712,3235,2431,804
824,2410,492,362,130
825,3679,726,539,187
826,2447,491,364,127
827,1554,261,198,63
828,3580,2770,2043,727
829,3388,694,515,179
830,1904,325,234,91
831,4772,1303,993,310
832,1685,310,225,85
833,5446,2506,1860,646
834,5193,3278,2461,817
835,2538,413,301,112
836,4058,567,412,155
837,1528,270,207,63
838,1557,291,223,68
839,3061,530,388,142
840,3904,817,599,218
841,2415,391,294,97
842,5228,1787,1345,442
843,1820,313,231,82
844,2290,414,302,112
845,3743,658,492,166
846,2466,463,349,114
847,2835,486,361,125
848,2767,520,395,125
849,2451,427,324,103
850,5146,1211,925,286
851,1990,349,265,84
852,2198,361,272,89
853,3041,613,465,148
854,3214,531,406,125
855,2032,347,262,85
856,3209,551,424,127
857,4013,595,446,149
858,3550,673,494,179
859,1452,247,183,64
860,2217,381,295,86
861,2493,517,358,159
862,3754,671,524,147
863,5140,1383,1041,342
864,2696,513,388,125
865,2580,469,350,119
866,3473,709,494,215
867,2123,406,314,92
868,2556,524,386,138
869,2067,374,273,101
870,2249,303,228,75
871,1854,257,202,55
872,1468,271,215,56
873,1687,293,215,78
874,4954,3975,2969,1006
875,2769,541,417,124
876,2492,609,439,170
877,3790,668,485,183
878,4526,4107,3042,1065
879,1823,352,262,90
880,2517,380,301,79
881,2460,470,356,114
882,5562,1444,1071,373
883,4518,725,547,178
884,2045,351,265,86
885,5091,836,634,202
886,2210,374,278,96
887,2359,484,357,127
888,3387,659,507,152
889,3069,502,388,114
890,2246,368,292,76
891,1475,216,175,41
892,2514,429,320,109
893,4072,3524,2627,897
894,3773,686,507,179
895,3155,420,310,110
896,2481,507,373,134
897,2024,399,309,90
898,3577,693,512,181
899,1469,223,175,48
900,2474,445,318,127
901,5059,1051,788,263
902,1948,347,264,83
903,2738,500,378,122
904,2350,478,353,125
905,2477,420,310,110
906,1845,253,178,75
907,2563,399,315,84
908,3350,2841,2131,710
909,2066,321,239,82
910,1812,350,267,83
911,2885,428,329,99
912,2713,421,318,103
913,3578,643,489,154
914,4668,1557,1132,425
915,1982,356,266,90
916,1552,281,203,78
917,2023,379,284,95
918,3360,559,422,137
919,3234,627,455,172
920,2973,522,375,147
921,2805,434,337,97
922,3574,586,433,153
923,3547,588,447,141
924,1981,436,319,117
925,4717,3146,2384,762
926,2077,327,246,81
927,2916,515,400,115
928,2007,335,259,76
929,3373,605,481,124
930,4607,910,672,238
931,2216,419,302,117
932,5320,2364,1770,594
933,4130,714,545,169
934,1800,261,205,56
935,4231,5265,3959,1306
936,3674,695,517,178
937,4168,751,559,192
938,2223,404,300,104
939,2729,713,507,206
940,1973,285,211,74
941,3544,558,435,123
942,2134,350,270,80
943,4091,681,522,159
944,3126,558,417,141
945,2472,434,328,106
946,2419,490,369,121
947,2482,437,328,109
948,1572,377,270,107
949,2812,526,394,132
950,3380,513,404,109
951,2391,464,348,116
952,3110,572,425,147
953,6837,1331,1016,315
954,2967,529,393,136
955,2594,477,329,148
956,3225,614,446,168
957,1975,309,247,62
958,2799,385,285,100
959,2358,429,320,109
960,2096,316,224,92
961,2335,459,356,103
962,3225,518,397,121
963,1911,359,272,87
964,3048,547,386,161
965,2954,621,464,157
966,2872,444,348,96
967,3372,624,463,161
968,1448,274,217,57
969,3292,608,465,143
970,4011,780,571,209
971,3627,718,570,148
972,2026,351,260,91
973,2741,553,401,152
974,6266,1393,1060,333
975,1567,255,197,58
976,2027,302,223,79
977,3121,527,407,120
978,1960,341,268,73
979,5550,984,763,221
980,2979,520,377,143
981,4647,671,521,150
982,3834,665,500,165
983,1987,315,240,75
984,1682,290,207,83
985,3460,652,502,150
986,2976,563,418,145
987,3156,552,411,141
988,4339,3060,2314,746
989,1681,292,218,74
990,3279,570,429,141
991,1542,250,187,63
992,2687,458,361,97
993,4269,696,515,181
994,2570,400,310,90
995,2908,456,337,119
996,4810,945,720,225
997,4860,2494,1857,637
998,2100,390,273,117
999,2013,345,249,96
1000,4120,671,518,153
1001,2656,436,329,107
1002,4977,1019,765,254
1003,2716,446,339,107
1004,2019,355,246,109
1005,1818,309,246,63
1006,4392,793,602,191
1007,3057,517,398,119
1008,1487,211,157,54
1009,4337,797,581,216
1010,1535,327,241,86
1011,3774,602,457,145
1012,2034,442,345,97
1013,1990,316,236,80
1014,1968,393,297,96
1015,2513,405,298,107
1016,2488,434,341,93
1017,3846,685,520,165
1018,1989,307,238,69
1019,4057,736,553,183
1020,1814,350,268,82
1021,1904,379,265,114
1022,3053,503,382,121
1023,3344,639,476,163
1024,2653,495,351,144
1025,2266,352,278,74
1026,2562,430,337,93
1027,3636,754,553,201
1028,3007,536,394,142
1029,2816,550,399,151
1030,1447,256,190,66
1031,4903,879,648,231
1032,2641,538,395,143
1033,3528,714,524,190
1034,1704,306,230,76
1035,4028,3012,2275,737
1036,2535,401,293,108
1037,3377,666,512,154
1038,1397,392,303,89
1039,1960,388,271,117
1040,3737,673,499,174
1041,2684,523,390,133
1042,1482,281,198,83
1043,2031,307,232,75
1044,2382,535,387,148
1045,3980,2932,2200,732
1046,1470,272,206,66
1047,2572,445,311,134
1048,2947,546,388,158
1049,2916,424,305,119
1050,1851,339,253,86
1051,3415,612,446,166
1052,4898,892,677,215
1053,1535,290,206,84
1054,3268,564,415,149
1055,2081,369,289,80
1056,1464,286,218,68
1057,1450,288,213,75
1058,5638,2193,1652,541
1059,5090,940,710,230
1060,1535,315,235,80
1061,2391,396,295,101
1062,1431,284,206,78
1063,4125,1434,1078,356
1064,3333,610,459,151
1065,1450,249,189,60
1066,3491,566,425,141
1067,4893,3313,2511,802
1068,4585,829,638,191
1069,1484,243,178,65
1070,2654,452,339,113
1071,2992,622,460,162
1072,3115,650,489,161
1073,1667,252,199,53
1074,2400,460,345,115
1075,1967,447,343,104
1076,2617,391,280,111
1077,2004,470,345,125
1078,3832,2904,2184,720
1079,5315,879,681,198
1080,2486,521,358,163
1081,1536,335,248,87
1082,4949,3209,2425,784
1083,2201,384,299,85
1084,2498,489,355,134
1085,4257,2919,2186,733
1086,2855,494,367,127
1087,2468,503,395,108
1088,2265,340,257,83
1089,1447,225,161,64
1090,3223,677,479,198
1091,1555,269,204,65
1092,3930,702,540,162
1093,5881,1039,762,277
1094,1878,361,258,103
1095,4030,785,597,188
1096,1928,306,217,89
1097,2701,478,377,101
1098,3323,5113,3869,1244
1099,4393,3067,2293,774
1100,2983,561,418,143
1101,3782,624,474,150
1102,4282,807,588,219
1103,4524,760,559,201
1104,4691,3100,2321,779
1105,3282,477,346,131
1106,2123,360,274,86
1107,1828,252,188,64
1108,3888,627,481,146
1109,1465,233,174,59
1110,2849,439,338,101
1111,2795,490,382,108
1112,3321,754,562,192
1113,2519,432,320,112
1114,5642,1124,846,278
1115,4059,849,650,199
1116,3845,681,531,150
1117,1711,284,222,62
1118,1560,239,188,51
1119,2708,514,379,135
1120,5062,3397,2531,866
1121,5272,1116,835,281
1122,2513,449,337,112
1123,2441,342,256,86
1124,2499,462,344,118
1125,1479,438,320,118
1126,1466,281,218,63
1127,3543,587,438,149
1128,2958,638,477,161
1129,2687,492,360,132
1130,2092,342,247,95
1131,4517,3079,2282,797
1132,2455,433,308,125
1133,3531,640,473,167
1134,1933,386,299,87
1135,4913,960,709,251
1136,2586,387,301,86
1137,3183,2884,2127,757
1138,6208,995,754,241
1139,1473,247,183,64
1140,1563,364,284,80
1141,1553,246,185,61
1142,3195,640,458,182
1143,3695,511,401,110
1144,5835,904,669,235
1145,1436,297,232,65
1146,3959,733,562,171
1147,2691,571,420,151
1148,2341,401,291,110
1149,2178,349,262,87
1150,3652,625,465,160
1151,1795,284,210,74
1152,1843,272,207,65
1153,3455,635,470,165
1154,2101,399,285,114
1155,1935,429,322,107
1156,2439,455,351,104
1157,3949,3044,2274,770
1158,2834,433,315,118
1159,2738,531,398,133
1160,2548,404,295,109
1161,5139,988,727,261
1162,1970,327,251,76
1163,4255,790,612,178
1164,3057,492,377,115
1165,3292,557,433,124
1166,2918,651,481,170
1167,3342,660,501,159
1168,3386,634,449,185
1169,1445,266,202,64
1170,5753,1013,768,245
1171,3354,642,479,163
1172,2415,383,288,95
1173,5101,1113,851,262
1174,2341,407,301,106
1175,5613,1718,1286,432
1176,1768,371,264,107
1177,1424,273,216,57
1178,2533,406,306,100
1179,1757,332,252,80
1180,2053,386,280,106
1181,1844,361,270,91
1182,3398,570,434,136
1183,2056,299,225,74
1184,2057,383,288,95
1185,2292,439,323,116
1186,4457,829,621,208
1187,2841,473,356,117
1188,3062,525,370,155
1189,2669,455,334,121
1190,3304,2768,2106,662
1191,4029,2997,2272,725
1192,5325,3744,2824,920
1193,2033,335,232,103
1194,4603,823,615,208
1195,1459,247,194,53
1196,2452,527,399,128
1197,1540,296,217,79
1198,3348,530,401,129
1199,2798,368,275,93
1200,3919,3040,2256,784
1201,2753,597,448,149
1202,2691,461,350,111
1203,3980,778,595,183
1204,1543,240,179,61
1205,3423,653,487,166
1206,3325,5175,3839,1336
1207,2411,419,331,88
1208,5241,893,668,225
1209,2463,421,311,110
1210,5087,860,661,199
1211,5415,1093,809,284
1212,2024,387,289,98
1213,4294,792,591,201
1214,2348,395,301,94
1215,3303,2788,2085,703
1216,1968,292,224,68
1217,1540,287,194,93
1218,2711,460,361,99
1219,5434,1846,1393,453
1220,2582,599,453,146
1221,2752,453,360,93
1222,5186,1039,793,246
1223,4716,3076,2286,790
1224,2059,288,217,71
1225,4290,3038,2266,772
1226,1534,269,209,60
1227,3018,496,364,132
